,Name,size,MRP,price,url
169,Dr Willmar Schwabe India Sabal Pentarkan Drop,bottle of 30 ml Drop,₹175,₹146,/otc/dr-willmar-schwabe-india-sabal-pentarkan-drop-otc327652
170,ADEL 17 Glautaract Drop,bottle of 20 ml Drop,₹295,₹246,/otc/adel-17-glautaract-drop-otc326103
171,SBL Ginseng Mother Tincture Q,bottle of 30 ml Mother Tincture,₹365,₹287,/otc/sbl-ginseng-mother-tincture-q-otc338483
172,SBL Avena Sativa Mother Tincture Q,bottle of 30 ml Mother Tincture,₹100,₹82,/otc/sbl-avena-sativa-mother-tincture-q-otc338515
173,ADEL 9 Cri-Regen Drop,bottle of 20 ml Drop,₹295,₹246,/otc/adel-9-cri-regen-drop-otc326114
174,SBL Thuja Occidentalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹140,₹115,/otc/sbl-thuja-occidentalis-mother-tincture-q-otc338408
175,SBL Bio-Combination 28 Tablet,bottle of 25 gm Biocombination Tablet,₹105,₹88,/otc/sbl-bio-combination-28-tablet-otc331081
176,Adven Osteodin-Z Oral Drops (25ml Each),box of 2 bottles,₹555,₹489,/otc/adven-osteodin-z-oral-drops-25ml-each-otc567455
177,SBL Alfalfa Tonic with Ginseng,bottle of 115 ml Tonic,₹125,₹103,/otc/sbl-alfalfa-tonic-with-ginseng-otc328975
178,SBL Calcarea Carbonica Dilution 200 CH,bottle of 30 ml Dilution,₹105,₹89,/otc/sbl-calcarea-carbonica-dilution-200-ch-otc346039
179,SBL Ginkgo Biloba Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹182,/otc/sbl-ginkgo-biloba-mother-tincture-q-otc338479
180,SBL Gelsemium Sempervirens Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹76,/otc/sbl-gelsemium-sempervirens-dilution-30-ch-otc338332
181,SBL Acidum Phosphoricum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹120,₹93,/otc/sbl-acidum-phosphoricum-mother-tincture-q-otc338535
182,SBL Hamamelis Virginica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹140,₹118,/otc/sbl-hamamelis-virginica-mother-tincture-q-otc338477
